date,type,address,city,zip,price,beds,baths,neighborhood,sqft,lotsize,year,hoa,url,mls,latitude,longitude,dist
June-15-2023,condo,172 Fayerweather St #1,Cambridge,2138,875000,2,1,Cambridge,1075,NA,1920,246,https://www.redfin.com/MA/Cambridge/172-Fayerweather-St-02138/unit-1/home/11593771,73100592,42.3853037,-71.1348949,1.845487171
June-16-2023,condo,106 Pleasant St #2,Cambridge,2139,810000,2,1,Cambridge,954,NA,1920,220,https://www.redfin.com/MA/Cambridge/106-Pleasant-St-02139/unit-2/home/11560820,73102861,42.3613606,-71.1110777,1.510273561
June-2-2023,condo,131 Morrison Ave #2,Somerville,2144,1200000,2,2,Somerville,1469,NA,1920,NA,https://www.redfin.com/MA/Somerville/131-Morrison-Ave-02144/unit-2/home/12403925,73105123,42.3962973,-71.1166518,2.53401838
June-22-2023,condo,71 Fulkerson St #102,Cambridge,2141,1001800,2,2,Kendall Square,1105,NA,1920,536,https://www.redfin.com/MA/Cambridge/63-Fulkerson-St-02141/unit-102/home/138020024,73111657,42.3702762,-71.0874448,2.621382406
June-23-2023,condo,110 Pearl St #2,Somerville,2145,560000,2,1,Somerville,985,NA,1920,617,https://www.redfin.com/MA/Somerville/110-Pearl-St-02145/unit-2/home/8749369,73106642,42.3850855,-71.0867611,2.943264048
June-26-2023,condo,328 Summer St #3,Somerville,2144,630000,1,1,Davis Square,741,NA,1920,152,https://www.redfin.com/MA/Somerville/328-Summer-St-02144/unit-3/home/25688611,73112561,42.392898,-71.1180593,2.149635634
June-30-2023,multifamily,45 Sunset Rd,Somerville,2144,1470000,7,3,Somerville,3335,3432,1920,NA,https://www.redfin.com/MA/Somerville/45-Sunset-Rd-02144/home/8685491,73120327,42.4091149,-71.1254278,3.988664421
June-7-2023,condo,151 Willow Ave #3,Somerville,2144,600000,1,1,Davis Square,836,NA,1920,164,https://www.redfin.com/MA/Somerville/151-Willow-Ave-02144/unit-3/home/12389791,73098862,42.3959451,-71.1154155,2.504845541
June-7-2023,multifamily,298 Summer St,Somerville,2144,1325000,6,2,Somerville,2598,2194,1920,NA,https://www.redfin.com/MA/Somerville/298-Summer-St-02144/home/8702031,73093782,42.391967,-71.1163071,2.056560437
March-17-2023,condo,63 Fairfax St #2,Somerville,2144,752000,2,1.5,West Somerville,1210,NA,1920,150,https://www.redfin.com/MA/Somerville/63-Fairfax-St-02144/unit-2/home/40421941,73077447,42.4122034,-71.130173,4.394389527
May-1-2023,condo,152 Berkshire St #1,Cambridge,2141,600000,2,1,Wellington-Harrington,705,NA,1920,425,https://www.redfin.com/MA/Cambridge/152-Berkshire-St-02141/unit-1/home/11600760,73090205,42.3721497,-71.0896984,2.415165724
May-15-2023,condo,53-55 Partridge Ave #1,Somerville,2145,1025000,3,3,Somerville,2100,NA,1920,126,https://www.redfin.com/MA/Somerville/53-55-Partridge-Ave-02145/unit-1/home/170504457,73092451,42.3946833,-71.1028625,2.696111151
May-18-2023,condo,34 Ash #12,Cambridge,2138,750000,1,1,Harvard Square,570,NA,1920,392,https://www.redfin.com/MA/Cambridge/34-Ash-St-02138/unit-12/home/11575008,73102773,42.3736836,-71.1256717,0.548752825
May-24-2023,condo,361 Harvard St #15,Cambridge,2138,1225000,3,2,Cambridge,1237,NA,1920,785,https://www.redfin.com/MA/Cambridge/361-Harvard-St-02138/unit-15/home/11571004,73097852,42.3715056,-71.1111409,0.687100872
May-30-2023,condo,83 Conwell Ave #3,Somerville,2144,785000,3,2,Somerville,1174,NA,1920,140,https://www.redfin.com/MA/Somerville/83-Conwell-Ave-02144/unit-3/home/179424253,73095523,42.4083263,-71.1284397,3.942850739
May-30-2023,multifamily,59-61 Woods Ave,Somerville,2144,1029900,4,2,Somerville,2112,3200,1920,NA,https://www.redfin.com/MA/Somerville/59-Woods-Ave-02144/home/185197735,73100684,42.4124256,-71.1295041,4.407476873
May-31-2023,condo,20 Concord Ave Unit D,Cambridge,2138,280000,1,1,Harvard Square,382,NA,1920,215,https://www.redfin.com/MA/Cambridge/20-Concord-Ave-02138/unit-D/home/185342546,73107964,42.3789468,-71.1250451,0.775497954
May-31-2023,multifamily,31 & 33 Knowlton St,Somerville,2145,1275000,6,3,East Somerville,3238,2935,1920,NA,https://www.redfin.com/MA/Somerville/31-Knowlton-St-02145/home/8739924,73096630,42.3820998,-71.0868232,2.810098378
May-5-2023,condo,49 Langdon #3,Cambridge,2138,880000,2,1.5,Harvard Square,1059,NA,1920,608,https://www.redfin.com/MA/Cambridge/49-Langdon-St-02138/unit-3/home/23430440,73099101,42.38077,-71.1217556,0.82970501
May-5-2023,townhouse,4 Wyatt Cir #4,Somerville,2143,925000,2,2,Somerville,947,NA,1920,220,https://www.redfin.com/MA/Somerville/4-Wyatt-Cir-02143/unit-4/home/8757398,73092598,42.3769227,-71.101671,1.472301988
November-15-2022,condo,4 Putnam St #3,Somerville,2143,753000,3,2,Somerville,1109,NA,1920,327,https://www.redfin.com/MA/Somerville/4-Putnam-St-02143/unit-3/home/11650239,73042301,42.3832837,-71.099077,1.961160512
